date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200506,AZ,9707,82030,None,754,1430,286,None,193,None,1693,426,1430,91737,91737,91737,31,33,3075,402,3477
20200505,AZ,9305,78955,None,728,1397,303,None,185,None,1671,395,1397,88260,88260,88260,33,40,2621,386,3007
20200504,AZ,8919,76334,None,703,1357,288,None,200,None,1632,362,1357,85253,85253,85253,0,9,3855,279,4134
20200503,AZ,8640,72479,None,732,1348,282,None,192,None,1597,362,1348,81119,81119,81119,14,9,2846,276,3122
20200502,AZ,8364,69633,None,718,1339,291,None,198,None,1565,348,1339,77997,77997,77997,18,136,2716,402,3118
20200501,AZ,7962,66917,None,709,1203,311,None,187,None,1528,330,1203,74879,74879,74879,10,34,2779,314,3093
20200430,AZ,7648,64138,None,755,1169,311,None,194,None,1499,320,1169,71786,71786,71786,16,38,2527,446,2973
20200429,AZ,7202,61611,None,756,1131,312,None,191,None,1475,304,1131,68813,68813,68813,11,36,1121,254,1375
20200428,AZ,6948,60490,None,737,1095,303,None,193,None,1450,293,1095,67438,67438,67438,18,44,663,232,895
20200427,AZ,6716,59827,None,647,1051,328,None,200,None,1418,275,1051,66543,66543,66543,0,14,1542,190,1732
20200426,AZ,6526,58285,None,671,1037,308,None,200,None,1383,275,1037,64811,64811,64811,9,15,2057,246,2303
20200425,AZ,6280,56228,None,697,1022,313,None,191,None,1345,266,1022,62508,62508,62508,0,38,1559,235,1794
20200424,AZ,6045,54669,None,639,984,332,None,186,None,1313,266,984,60714,60714,60714,17,984,1741,276,2017
20200423,AZ,5769,52928,None,699,None,305,None,201,None,1282,249,None,58697,58697,58697,20,0,1786,310,2096
20200422,AZ,5459,51142,None,664,None,300,None,195,None,1265,229,None,56601,56601,56601,21,0,1241,208,1449
20200421,AZ,5251,49901,None,637,None,285,None,181,None,1155,208,None,55152,55152,55152,21,0,465,187,652
20200420,AZ,5064,49436,None,637,None,285,None,181,None,1155,187,None,54500,54500,54500,3,0,1375,135,1510
20200419,AZ,4929,48061,None,631,None,283,None,187,None,994,184,None,52990,52990,52990,7,0,1735,210,1945
20200418,AZ,4719,46326,None,566,None,285,None,178,None,539,177,None,51045,51045,51045,8,0,1603,212,1815
20200417,AZ,4507,44723,None,566,None,285,None,178,None,539,169,None,49230,49230,49230,19,0,1559,273,1832
20200416,AZ,4234,43164,None,578,None,278,None,188,None,460,150,None,47398,47398,47398,8,0,1816,272,2088
20200415,AZ,3962,41348,None,590,None,286,None,202,None,385,142,None,45310,45310,45310,11,0,1058,156,1214
20200414,AZ,3806,40290,None,580,None,286,None,216,None,249,131,None,44096,44096,44096,9,0,645,104,749
20200413,AZ,3702,39645,None,525,None,286,None,195,None,None,122,None,43347,43347,43347,7,0,1075,163,1238
20200412,AZ,3539,38570,None,None,None,None,None,None,None,None,115,None,42109,42109,42109,7,0,1433,146,1579
20200411,AZ,3393,37137,None,None,None,None,None,None,None,None,108,None,40530,40530,40530,11,0,2515,281,2796
20200410,AZ,3112,34622,None,None,None,None,None,None,None,None,97,None,37734,37734,37734,8,0,462,94,556
20200409,AZ,3018,34160,None,None,None,None,None,None,None,None,89,None,37178,37178,37178,9,0,2322,292,2614
20200408,AZ,2726,31838,None,None,None,None,None,None,None,None,80,None,34564,34564,34564,7,0,1038,151,1189
20200407,AZ,2575,30800,None,None,None,None,None,None,None,None,73,None,33375,33375,33375,8,0,722,119,841
20200406,AZ,2456,30078,None,None,None,None,None,None,None,None,65,None,32534,32534,32534,1,0,4937,187,5124
20200405,AZ,2269,25141,None,None,None,None,None,None,None,None,64,None,27410,27410,27410,12,0,0,250,250
20200404,AZ,2019,25141,None,None,None,None,None,None,None,None,52,None,27160,27160,27160,11,0,2237,250,2487
20200403,AZ,1769,22904,None,None,None,None,None,None,None,None,41,None,24673,24673,24673,9,0,1793,171,1964
20200402,AZ,1598,21111,None,None,None,None,None,None,None,None,32,None,22709,22709,22709,3,0,1466,185,1651
20200401,AZ,1413,19645,None,None,None,None,None,None,None,None,29,None,21058,21058,21058,5,0,1563,124,1687
20200331,AZ,1289,18082,None,None,None,None,None,None,None,None,24,None,19371,19371,19371,4,0,2480,132,2612
20200330,AZ,1157,15602,None,None,None,None,None,None,None,None,20,None,16759,16759,16759,3,0,2649,238,2887
20200329,AZ,919,12953,None,None,None,None,None,None,None,None,17,None,13872,13872,13872,2,0,5498,46,5544
20200328,AZ,873,7455,21,None,None,None,None,None,None,None,15,None,8349,8328,8328,2,0,0,137,137
20200327,AZ,736,7455,30,None,None,None,None,None,None,None,13,None,8221,8191,8191,5,0,7108,159,7267
20200326,AZ,577,347,33,None,None,None,None,None,None,None,8,None,957,924,924,2,0,24,127,151
20200325,AZ,450,323,53,None,None,None,None,None,None,None,6,None,826,773,773,1,0,10,93,103
20200324,AZ,357,313,22,None,None,None,None,None,None,None,5,None,692,670,670,3,0,4,92,96
20200323,AZ,265,309,6,None,None,None,None,None,None,None,2,None,580,574,574,0,0,27,113,140
20200322,AZ,152,282,87,None,None,None,None,None,None,None,2,None,521,434,434,1,0,42,48,90
20200321,AZ,104,240,122,None,None,None,None,None,None,None,1,None,466,344,344,1,0,29,39,68
20200320,AZ,65,211,101,None,None,None,None,None,None,None,0,None,377,276,276,0,0,36,21,57
20200319,AZ,44,175,130,None,None,None,None,None,None,None,0,None,349,219,219,0,0,27,16,43
20200318,AZ,28,148,102,None,None,None,None,None,None,None,0,None,278,176,176,0,0,6,8,14
20200317,AZ,20,142,66,None,None,None,None,None,None,None,0,None,228,162,162,0,0,17,2,19
20200316,AZ,18,125,63,None,None,None,None,None,None,None,0,None,206,143,143,0,0,4,6,10
20200315,AZ,12,121,50,None,None,None,None,None,None,None,0,None,183,133,133,0,0,0,0,0
20200314,AZ,12,121,50,None,None,None,None,None,None,None,0,None,183,133,133,0,0,27,3,30
20200313,AZ,9,94,40,None,None,None,None,None,None,None,0,None,143,103,103,0,0,12,0,12
20200312,AZ,9,82,24,None,None,None,None,None,None,None,None,None,115,91,91,0,0,23,0,23
20200311,AZ,9,59,32,,,,,,,,,,100,68,68,0,0,8,3,11
20200310,AZ,6,51,27,,,,,,,,,,84,57,57,0,0,7,1,8
20200309,AZ,5,44,7,,,,,,,,,,56,49,49,0,0,0,0,0
20200308,AZ,5,44,7,,,,,,,,,,56,49,49,0,0,0,0,0
20200307,AZ,5,44,7,,,,,,,,,,56,49,49,0,0,11,2,13
20200306,AZ,3,33,15,,,,,,,,,,51,36,36,0,0,5,1,6
20200305,AZ,2,28,6,,,,,,,,,,36,30,30,0,0,1,0,1
20200304,AZ,2,27,5,,,,,,,,,,34,29,29,None,None,None,None,None
